"Mark A. Pitre","Foothill Securities","Financial Telesis","$1,000","03-23-2015"
"Lester P. Botkin, Sara B. Botkin, Lester H. Botkin","LPL Financial","Morgan Stanley Wealth Management","$210","03-23-2015"
"J. Samuel Fitch","Bridgeworth Financial","Warren Averett CPAs and Advisors","$597","03-23-2015"
"Cody Siebert, Ronald Briggs, Shawn Loring, James Klodosky","Securities America","First Global Capital; SagePoint Financial ","$139","03-20-2015"
"Jim Motteler","Ameriprise Financial","Wells Fargo Advisors","$80","03-20-2015"
"John P. Lipari, Richard P. Ribek, Elizabeth Carter","Raymond James","Morgan Stanley Wealth Management","$250","03-20-2015"
"Ruben Rodriguez, Nelson Ortiz","Investacorp","UBS Financial Services","$55","03-18-2015"
"Katherine Stellar","Golden State Wealth Management","Morgan Stanley Wealth Management","$53","03-18-2015"
"Thomas Cagganello","Morgan Stanley Wealth Management","Wells Fargo Advisors","$145","03-18-2015"
"Daniel K. Schwala","Morgan Stanley Wealth Management","UBS Financial Services","$267","03-18-2015"
"Mark F. Leonard","Morgan Stanley Wealth Management","Suntrust Investment Services","$435","03-18-2015"
"Lynn Davis, Russell Baker, Chelsea Magby, Karen Martin, Rick Patterson","Raymond James","LPL Financial","$0","03-16-2015"
"James Goetz","Golden State Wealth Management","JPMorgan Chase & Co.","$50","03-16-2015"
"Ronald Slevin, George Gladman, Jared Stone, Jeffrey Tucker","Bank of America Merrill Lynch","RBC Wealth Management","$300","03-10-2015"
"Rebecca Gadus, Jeffrey Carroll, Tyson Eubanks","Robert W. Baird & Co.","UBS Financial Services","$0","03-10-2015"
"Barbara Woolhandler","Robert W. Baird & Co.","Morgan Stanley Wealth Management","$260","03-10-2015"
"James Crosson","Voya Financial Advisors","Investors Capital","$167","03-10-2015"
"Douglas W. Richards, Sheldon Ray Jr.","Raymond James","Morgan Stanley Wealth Management","$150","03-09-2015"
"Robert J. Debbs, Frederick J. Shapiro, Steven F. Colamarino, Albert David Hutzler III","Bank of America Merrill Lynch","UBS Financial Services","$500","03-09-2015"
"Robert Lum","Ameriprise Financial","MJ Whitman","$76","03-09-2015"
"William Geraghty","Ameriprise Financial","MJ Whitman","$165","03-09-2015"
"Skip Riley, Michael Lowe","Voya Financial Advisors","Cabot Lodge Securities","$50","03-09-2015"
"Troy L. Irvine","Investors Capital","Edward Jones","$85","03-09-2015"
"Edward A. Metz, Zamira A. Sanchez, Janet Sbrocco","Raymond James","LPL Financial","$150","03-09-2015"
"Charles Esler","Independent Financial Group","Financial Telesis","$500","03-09-2015"
"Steff Chalk","Independent Financial Group","Global Retirement Partners","$500","03-09-2015"
"Lei Peter Shen","Independent Financial Group","LPL Financial","$50","03-09-2015"
"Kelly M. Morris","Independent Financial Group","LPL Financial","$65","03-09-2015"
"Charles Meyer, Elizabeth Thomas","Plancorp","1926 Investment Advisors","$120","02-26-2015"
"Michael Calvin, Guy Clayton ","Bank of America Merrill Lynch","UBS Financial Services","$175","02-26-2015"
"Juan Ley, Tiffany Callahan ","Wells Fargo Advisors","Morgan Stanley Wealth Management","$214","02-26-2015"
"Mitchell Gravelle","Wells Fargo Advisors","Morgan Stanley Wealth Management","$100","02-26-2015"
"Jeffrey Katz ","Wells Fargo Advisors","Morgan Stanley Wealth Management","$174","02-26-2015"
"Marta L. Shen, A.K. Mashhoon","Raymond James","Commonwealth Financial Network","$109","02-26-2015"
"John Sedberry, Zachary Jones ","Raymond James","LPL Financial","$93","02-26-2015"
"William Diener, Andrew Lenner","Summit Brokerage Services","Morgan Stanley Wealth Management","$65","02-20-2015"
"Samuel C. Gross, Joseph G. Brady, Tonya Ann Rasmussen","Raymond James","William Blair & Co.","$524","02-20-2015"
"Stephen Dreiling, Jason Rosener, Chris Johnson, Brian McDowell","United Capital","Compass Bank","$2,000","02-18-2015"
"Robert Winebrenner, Steve Hussey, Heidi Schenz, Chris Johnson","Raymond James","Morgan Stanley Wealth Management","$270","02-18-2015"
"Justin A. Davidson, Howard N. Katz","Integrated Financial Group","Lincoln Financial","$80","02-18-2015"
"Mark K. Vien","Girard Securities","Edward Jones","$73","02-18-2015"
"Billy C. Belcher ","Raymond James","Edward Jones","$175","02-13-2015"
"Tiomthy B. Clepper, Kelly M. Kuennen, Max Schindler","Stratos Wealth Partners","Morgan Stanley Wealth Management","$200","02-13-2015"
"Bruce C. Munster","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$1,200","02-11-2015"
"Hayley Higgins","Stratos Wealth Partners","Wells Fargo Advisors","$100","02-11-2015"
"Dawn Mcguire, Anthony Urban","FSC Securities","Morgan Stanley Wealth Management","$78","02-11-2015"
"Lance Gilden, Evan Sall, Jordan Berlin","FSC Securities","Cetera, JPMorgan Chase & Co., Gilford Securities","$260","02-11-2015"
"Haris Hot","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$223","02-11-2015"
"Steven Leach","Investacorp","Investment Professionals","$65","02-09-2015"
"W. Ware Smith, Jr.","Ameriprise Financial","UBS Financial Services","$85","02-09-2015"
"Brian Casey","Ameriprise Financial","Morgan Stanley Wealth Management","$77","02-09-2015"
"Thomas Caruso","Ameriprise Financial","Morgan Stanley Wealth Management","$105","02-09-2015"
"Paul Berman, Joshua Rosenzweig","Raymond James","RBC Wealth Management","$200","02-09-2015"
"John E. Carroll","LPL Financial","Bank of America Merrill Lynch","$130","02-09-2015"
"Patrick Cook, Nathan Cook","Robert W. Baird & Co.","UBS Financial Services","$170","02-05-2015"
"Patricia Pick","Hightower Advisors","Morgan Stanley Wealth Management","$225","02-05-2015"
"Michael R. Hostick, II, Michael D. Charles","Raymond James","Oppenheimer","$0","01-28-2015"
"James Winkler, Lauren Johnson, Randi Richardson","RBC Wealth Management","UBS Financial Services","$195","01-28-2015"
"Rob Torrington","Raymond James","UBS Financial Services","$103","01-28-2015"
"Robert E. Feldman, Donna G. Bowler ","Snowden Lane Partners","Bank of America Merrill Lynch","$225","01-26-2015"
"Mahmoud El Awadi","Bank of America Merrill Lynch","Morgan Stanley Wealth Management","$50","01-26-2015"
"Robert S. Tremlett","Waddell and Reed","Charles Schwab","$60","01-22-2015"
"Chad A. Tom, Wayne Wycoff","Stratos Wealth Partners","Huntington Investments","$0","01-22-2015"
"Pat Callaghan, Alan Fishman, Bernard Neuman, Jonathan Neuman, Tom Puccinelli, Stan Slovin, Lisa Su, Irene Kapusciarz, Melissa Vald","Wells Fargo Advisors","Morgan Stanley Wealth Management","$700","01-22-2015"
"Brandon K. Cass","SagePoint Financial","Crowell, Weedon & Co.","$65","01-22-2015"
"John P. Barringer","First Financial Equity Corporation","Morgan Stanley Wealth Management","$100","01-22-2015"
"Luigi Mazza","Raymond James","Morgan Stanley Wealth Management","$85","01-22-2015"
"Eric T. Pressman","Morgan Stanley Wealth Management","Bank of America Merrill Lynch","$75","01-22-2015"
"William D. Burke","Lebenthal Wealth Advisors","Morgan Stanley Wealth Management","$0","01-22-2015"
"Michael Crossley, Roger Blackmar","Wunderlich Securities","Morgan Stanley Wealth Management","$125","01-22-2015"
